;addressSize;append_sum;bleachingActivated;n_filters_mfcc;n_kernels;window_size;window_step;preprocessing_time_mean;preprocessing_time_std;training_time_mean;training_time_std;training_prediction_time_mean;training_prediction_time_std;validation_prediction_time_mean;validation_prediction_time_std;training_accuracy_mean;training_accuracy_std;validation_accuracy_mean;validation_accuracy_std;rank
35;10;True;True;10;1024;0.1;0.02;13.907962560653687;0.21877388671033515;0.1613617420196533;0.002546117849425753;0.7300452709197998;0.015362298757135084;0.1874979019165039;0.003154026510936306;1.0;0.0;0.8851851851851851;0.009868824144054983;36.0
36;20;True;True;10;4096;0.1;0.02;34.62092924118042;0.19691245115250838;0.7493895530700684;0.04506814083937578;2.5414724349975586;0.0808538296558238;0.612978458404541;0.013449637790759758;1.0;0.0;0.882962962962963;0.011793839502289368;37.0
37;15;True;True;10;2048;0.1;0.02;22.00564889907837;3.2613113412674224;0.37192931175231936;0.031194248354402886;1.4826168537139892;0.14707826269884108;0.38037986755371095;0.05072660069758347;1.0;0.0;0.8818518518518518;0.012306109426545293;38.0
38;15;True;True;10;1024;0.1;0.02;13.818051528930663;0.22196324944144677;0.16016383171081544;0.013006224638199167;0.6593682765960693;0.030840580579754782;0.17114520072937012;0.007842530399389216;1.0;0.0;0.8803703703703704;0.010772621905369617;39.5
39;20;True;True;12;2048;0.1;0.02;20.877193021774293;0.22347900128216538;0.33988027572631835;0.019634450808836242;1.2535108089447022;0.037415013218366884;0.3108693599700928;0.019662873975304498;1.0;0.0;0.8803703703703704;0.025782673013269797;39.5
40;20;True;True;16;4096;0.1;0.02;36.45173873901367;0.18043827779731142;0.8309327125549316;0.0651413952952259;2.676723909378052;0.07224664874297905;0.6480647563934326;0.0313692284412405;1.0;0.0;0.8774074074074074;0.035280572456621806;41.0
41;5;True;True;12;8192;0.1;0.02;76.03446383476258;7.611937419558871;1.7837247848510742;0.1251992898767492;13.234494924545288;0.9805390907518126;3.27005295753479;0.18625431911715298;0.9926851851851852;0.0027529756939478497;0.875925925925926;0.011415581486979572;42.0
42;5;True;True;14;8192;0.1;0.02;67.93229937553406;0.8759896533320529;1.6457934856414795;0.038663015321821925;12.435009956359863;0.03409066393980421;3.0811814785003664;0.04563668222015054;0.9949074074074075;0.0008281733249999357;0.8737037037037035;0.012744185580803874;43.0
43;15;True;True;16;1024;0.1;0.02;14.769206666946411;0.39368233865259217;0.16077747344970703;0.002769484917283769;0.7069176197052002;0.01288500872866259;0.17651920318603515;0.001077276006031459;1.0;0.0;0.8729629629629629;0.02620484881675368;44.0
44;20;True;True;10;2048;0.1;0.02;20.503500080108644;0.3574930321790467;0.33669490814208985;0.01834700193728779;1.208017110824585;0.05214820437160557;0.29741597175598145;0.01390760609479195;1.0;0.0;0.8700000000000001;0.015511401178794015;45.0
45;20;True;True;12;1024;0.1;0.02;14.437483310699463;0.159164835753899;0.14003305435180663;0.0013558798010541722;0.5401726245880127;0.004006809867330679;0.13364624977111816;0.0014170843751742034;1.0;0.0;0.8692592592592593;0.027903419558277572;46.0
46;20;True;True;10;1024;0.1;0.02;14.888476610183716;1.2796112113382858;0.155293607711792;0.024616030416322217;0.6095634460449219;0.09453746171279445;0.15498723983764648;0.023122003345611326;1.0;0.0;0.8625925925925925;0.02176694111839276;47.0
47;5;True;True;16;8192;0.1;0.02;69.79875588417053;3.2849306006506027;1.7020512580871583;0.09377610699492002;12.511548566818238;0.025685165984108038;3.109190654754639;0.08249950917833948;0.9950925925925926;0.002062134949196315;0.8585185185185186;0.01264694153997324;48.0
48;5;True;True;12;4096;0.1;0.02;40.71870722770691;0.32318086816217984;0.9394792556762696;0.08062707299374076;6.779435777664185;0.25845784990253506;1.6206490039825439;0.03204360989714388;0.9846296296296296;0.00409296964912968;0.855925925925926;0.016621337535049553;49.0
49;5;True;True;14;4096;0.1;0.02;36.129493427276614;2.0010457501336507;0.7354628562927246;0.022941189411357414;5.7635986328125;0.1307688109942194;1.4018544197082519;0.029742873906048583;0.9874074074074073;0.004277336837944859;0.8544444444444445;0.01854072742338343;50.0
50;20;True;True;16;2048;0.1;0.02;21.331951332092284;0.1782045674031059;0.3634469985961914;0.03778009158977398;1.2850099086761475;0.05231468283383181;0.3078864574432373;0.014412715108316704;1.0;0.0;0.8514814814814816;0.029476455927513395;51.0
51;5;True;True;10;8192;0.1;0.02;74.88206467628478;9.36898255089497;1.806746768951416;0.33630730083292065;14.048119401931762;2.417561912272424;3.8295547008514403;0.9979599192479843;0.9843518518518518;0.0023497365815647446;0.8492592592592592;0.01968893905185483;52.0
52;20;True;True;14;1024;0.1;0.02;14.597380781173706;0.14471499598013995;0.14520540237426757;0.0017297434467536494;0.5662461757659912;0.005575946703926099;0.14162840843200683;0.007378496091254557;1.0;0.0;0.8485185185185186;0.023494446706894375;53.0
53;5;True;True;10;4096;0.1;0.02;38.761822080612184;2.982130958349078;0.794972562789917;0.06269766095996622;6.55693416595459;0.5324844719861829;1.5604287147521974;0.166928940677615;0.9700925925925926;0.002724803512881863;0.8407407407407407;0.016438771126794188;54.0
54;5;True;True;12;2048;0.1;0.02;24.13494167327881;0.17918862435613872;0.4125051975250244;0.019978854501652144;2.9228367805480957;0.13879347248536678;0.7776265621185303;0.09903023080833996;0.9670370370370371;0.008132350004646845;0.8248148148148149;0.008654312181887355;55.0
55;5;True;True;16;4096;0.1;0.02;35.68501439094543;0.15168309627285798;0.746882152557373;0.047118616661791735;5.836195421218872;0.14753777026473847;1.494722557067871;0.10502340486272982;0.9822222222222223;0.006485448521421299;0.8207407407407409;0.020333299601941912;56.0
56;5;True;True;14;2048;0.1;0.02;20.71644492149353;0.2317539191333998;0.3492589950561523;0.011788944659525806;2.559188413619995;0.09119346414114368;0.6341238975524902;0.017924984895218904;0.9672222222222221;0.004175915660659135;0.8096296296296297;0.017505633034216986;57.0
57;5;True;True;10;2048;0.1;0.02;21.399302434921264;1.1836639109375087;0.3538501262664795;0.011652908270303639;2.659334993362427;0.15508323223325837;0.6582484722137452;0.026513882010469357;0.9525925925925925;0.006795312271077343;0.8025925925925925;0.010115926136109376;58.0
58;20;True;True;16;1024;0.1;0.02;16.65898003578186;2.1563291725774394;0.16217451095581054;0.04017719044226898;0.6167667865753174;0.11185592776767299;0.1513822078704834;0.030088758105563156;1.0;0.0;0.7985185185185185;0.028070067142957657;59.0
59;5;True;True;16;2048;0.1;0.02;21.195310592651367;0.2601663624099876;0.38097572326660156;0.03518994028777402;2.6722607612609863;0.16258242385549992;0.684965991973877;0.06962692663694743;0.9655555555555555;0.003134502014779785;0.7862962962962964;0.024612218853090596;60.0
60;5;True;True;12;1024;0.1;0.02;20.212807989120485;2.8716948854659234;0.21362943649291993;0.031465794376604926;1.5804839611053467;0.4017441010099986;0.40068421363830564;0.12614410464890116;0.9444444444444444;0.005834068148897571;0.7792592592592592;0.01830993643601226;61.0
61;5;True;True;10;1024;0.1;0.02;15.484380960464478;1.1377789865234187;0.166962194442749;0.023644327191682444;1.181424617767334;0.17276801723197807;0.30817880630493166;0.0408609241339661;0.9262037037037038;0.007462756177633272;0.7692592592592593;0.023732621249778964;62.0
62;5;True;True;14;1024;0.1;0.02;14.111316919326782;0.12646843888118636;0.15892648696899414;0.0016792525002194444;1.1184013843536378;0.016351789367644885;0.290833568572998;0.010492430312431375;0.9351851851851851;0.009675815168602308;0.7685185185185185;0.01513541980866855;63.0
63;5;True;True;16;1024;0.1;0.02;15.689873456954956;1.5660342017575049;0.16017475128173828;0.010969955451373813;1.1738798141479492;0.1491291300182516;0.3187361240386963;0.05228373595167952;0.9291666666666666;0.008881169487616166;0.6955555555555556;0.008888888888888889;64.0
